Reference,Reference URL,Reference Perpendicular Baseline (meters),Secondary,Secondary URL,Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20200107T113019_20200107T113047_030694_0384B0_B4CE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200107T113019_20200107T113047_030694_0384B0_B4CE.zip,25,S1A_IW_SLC__1SDV_20200119T113019_20200119T113047_030869_038AD7_0545,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200119T113019_20200119T113047_030869_038AD7_0545.zip,-8,12
S1A_IW_SLC__1SDV_20200107T113019_20200107T113047_030694_0384B0_B4CE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200107T113019_20200107T113047_030694_0384B0_B4CE.zip,25,S1A_IW_SLC__1SDV_20200131T113018_20200131T113046_031044_0390F2_2AFA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200131T113018_20200131T113046_031044_0390F2_2AFA.zip,0,24
S1A_IW_SLC__1SDV_20200107T113019_20200107T113047_030694_0384B0_B4CE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200107T113019_20200107T113047_030694_0384B0_B4CE.zip,25,S1A_IW_SLC__1SDV_20200212T113018_20200212T113046_031219_03970B_0FF1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200212T113018_20200212T113046_031219_03970B_0FF1.zip,-32,36
S1A_IW_SLC__1SDV_20200107T113019_20200107T113047_030694_0384B0_B4CE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200107T113019_20200107T113047_030694_0384B0_B4CE.zip,25,S1A_IW_SLC__1SDV_20200224T113018_20200224T113046_031394_039D11_AC17,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200224T113018_20200224T113046_031394_039D11_AC17.zip,-9,48
S1A_IW_SLC__1SDV_20200107T113019_20200107T113047_030694_0384B0_B4CE,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200107T113019_20200107T113047_030694_0384B0_B4CE.zip,25,S1A_IW_SLC__1SDV_20200307T113018_20200307T113046_031569_03A31D_6990,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200307T113018_20200307T113046_031569_03A31D_6990.zip,-52,60
S1A_IW_SLC__1SDV_20200119T113019_20200119T113047_030869_038AD7_0545,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200119T113019_20200119T113047_030869_038AD7_0545.zip,-8,S1A_IW_SLC__1SDV_20200131T113018_20200131T113046_031044_0390F2_2AFA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200131T113018_20200131T113046_031044_0390F2_2AFA.zip,0,12
S1A_IW_SLC__1SDV_20200119T113019_20200119T113047_030869_038AD7_0545,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200119T113019_20200119T113047_030869_038AD7_0545.zip,-8,S1A_IW_SLC__1SDV_20200212T113018_20200212T113046_031219_03970B_0FF1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200212T113018_20200212T113046_031219_03970B_0FF1.zip,-32,24
S1A_IW_SLC__1SDV_20200119T113019_20200119T113047_030869_038AD7_0545,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200119T113019_20200119T113047_030869_038AD7_0545.zip,-8,S1A_IW_SLC__1SDV_20200224T113018_20200224T113046_031394_039D11_AC17,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200224T113018_20200224T113046_031394_039D11_AC17.zip,-9,36
S1A_IW_SLC__1SDV_20200119T113019_20200119T113047_030869_038AD7_0545,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200119T113019_20200119T113047_030869_038AD7_0545.zip,-8,S1A_IW_SLC__1SDV_20200307T113018_20200307T113046_031569_03A31D_6990,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200307T113018_20200307T113046_031569_03A31D_6990.zip,-52,48
S1A_IW_SLC__1SDV_20200119T113019_20200119T113047_030869_038AD7_0545,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200119T113019_20200119T113047_030869_038AD7_0545.zip,-8,S1A_IW_SLC__1SDV_20200319T113018_20200319T113046_031744_03A939_7C54,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200319T113018_20200319T113046_031744_03A939_7C54.zip,0,60
